data,campanha,sub_id,categoria,status,orcamento_dia,gasto_sem_imposto,gasto_com_imposto,comissao_bruta,comissao_liquida,pedidos,diretos,cliques,impressoes,cpc,com_instagram,com_whatsapp,com_outros
2026-04-23,"Publicação do Instagram: ✨Comente ""BODY"" para receber o link",bodybebe45,Mãe e Bebê,Ativa,45,37.25,42.4,94.85,89.16,55,13,466,10664,0.08,77.17,10.62,7.06
2026-04-23,"Publicação do Instagram: ✨Comente ""HIDRATANTE"" para receber o link",hidratante40,Beleza,Ativa,40,41.73,47.5,67.73,63.67,28,8,348,10330,0.12,56.78,7.67,3.28
2026-04-23,"Publicação do Instagram: ✨Comente ""ORGANIZADOR"" para receber o link",organizador50,Casa e Decoração,Ativa,50,48.25,54.92,93.02,87.44,47,13,603,15659,0.08,77.93,10.96,4.13
2026-04-23,"Publicação do Instagram: ✨Comente ""TAPETE"" para receber o link",tapetesala60,Casa e Decoração,Ativa,60,58.8,66.93,145.28,136.56,80,26,588,16401,0.1,122.32,14.49,8.47
2026-04-24,"Publicação do Instagram: ✨Comente ""BODY"" para receber o link",bodybebe45,Mãe e Bebê,Ativa,45,40.39,45.98,179.66,168.88,89,27,1010,22991,0.04,153.73,17.68,8.25
2026-04-24,"Publicação do Instagram: ✨Comente ""HIDRATANTE"" para receber o link",hidratante40,Beleza,Ativa,40,36.06,41.05,71.32,67.04,30,8,451,11292,0.08,59.55,7.62,4.15
2026-04-24,"Publicação do Instagram: ✨Comente ""ORGANIZADOR"" para receber o link",organizador50,Casa e Decoração,Ativa,50,49.32,56.14,93.27,87.67,42,12,705,19349,0.07,80.87,8.06,4.34
2026-04-24,"Publicação do Instagram: ✨Comente ""TAPETE"" para receber o link",tapetesala60,Casa e Decoração,Ativa,60,61.48,69.98,124.43,116.96,60,16,512,16019,0.12,106.72,12.71,5.0
2026-04-25,"Publicação do Instagram: ✨Comente ""BODY"" para receber o link",bodybebe45,Mãe e Bebê,Ativa,45,49.5,56.35,101.54,95.45,60,17,619,15334,0.08,88.71,8.18,4.65
2026-04-25,"Publicação do Instagram: ✨Comente ""HIDRATANTE"" para receber o link",hidratante40,Beleza,Ativa,40,44.0,50.09,123.28,115.88,55,15,489,12110,0.09,105.37,12.45,5.46
2026-04-25,"Publicação do Instagram: ✨Comente ""ORGANIZADOR"" para receber o link",organizador50,Casa e Decoração,Ativa,50,47.07,53.58,117.36,110.32,58,20,523,13130,0.09,99.25,11.41,6.7
2026-04-25,"Publicação do Instagram: ✨Comente ""TAPETE"" para receber o link",tapetesala60,Casa e Decoração,Ativa,60,52.12,59.33,115.72,108.78,59,16,579,17855,0.09,99.07,9.36,7.29
2026-04-26,"Publicação do Instagram: ✨Comente ""BODY"" para receber o link",bodybebe45,Mãe e Bebê,Ativa,45,43.21,49.19,73.67,69.25,35,12,540,17048,0.08,62.96,6.78,3.93
